season,week,rule,robustness_radius,eliminated_index
14,3,weighted_saturation,1.2791678164615676,2
14,4,weighted_saturation,1.004009474809342,2
14,5,weighted_saturation,inf,2
14,6,weighted_saturation,1.7003664553427733,1
14,7,weighted_saturation,0.8831877965697535,4
14,8,weighted_saturation,0.9493742468218654,3
14,9,weighted_saturation,0.8133994801175984,2
14,10,weighted_saturation,0.2776039034452711,1
15,1,weighted_saturation,0.0,8
15,2,weighted_saturation,inf,8
15,3,weighted_saturation,0.9335191516638534,7
15,4,weighted_saturation,inf,5
15,5,weighted_saturation,1.222392967562154,4
15,6,weighted_saturation,1.1366931877290696,4
15,7,weighted_saturation,inf,4
15,8,weighted_saturation,inf,4
15,9,weighted_saturation,1.1377814500024803,2
15,10,weighted_saturation,0.9957142877769444,0
16,1,weighted_saturation,0.0603217614232535,2
16,2,weighted_saturation,2.2914991909909967,2
16,3,weighted_saturation,2.2204702355613604,2
16,4,weighted_saturation,inf,6
16,5,weighted_saturation,1.854586208931413,2
16,6,weighted_saturation,1.698183593299574,1
16,7,weighted_saturation,inf,1
16,8,weighted_saturation,1.5459334081288834,4
16,9,weighted_saturation,1.2713023415520728,1
16,10,weighted_saturation,0.2331364795424791,3
17,1,weighted_saturation,0.0,2
17,2,weighted_saturation,1.2330493463204675,2
17,3,weighted_saturation,inf,2
17,4,weighted_saturation,1.18260712759439,9
17,5,weighted_saturation,1.2143784680281575,1
17,6,weighted_saturation,1.2006695635030797,1
17,7,weighted_saturation,1.1326502690595783,1
17,8,weighted_saturation,1.9571226901889978,1
17,9,weighted_saturation,2.05690254154692,1
17,10,weighted_saturation,2.1493738900926687,1
17,11,weighted_saturation,1.8103145353321344,1
18,1,weighted_saturation,0.0,1
18,2,weighted_saturation,1.3873068957099108,1
18,3,weighted_saturation,1.3722092299776198,5
18,4,weighted_saturation,1.2932617843291343,5
18,5,weighted_saturation,1.1310336280908095,5
18,6,weighted_saturation,1.3531383823705967,4
18,7,weighted_saturation,1.8613779113911768,6
18,8,weighted_saturation,0.6471194469305528,4
18,9,weighted_saturation,inf,1
18,10,weighted_saturation,1.2454545286697782,1
19,1,weighted_saturation,0.06706916903334148,3
19,2,weighted_saturation,inf,7
19,3,weighted_saturation,1.6287424940623083,8
