season,week,rule_regime,n_active,observed_eliminated,model_elim_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_map_matches_observed
13,3,percent,10,6,0.09534325156455135,8,False,-2.302585092994046,0.1,0.09995974728608124,False
13,4,percent,9,2,0.11084750415436033,7,False,-2.1972245773362196,0.1111111111111111,0.11148146208741172,False
13,5,percent,8,0,0.1304343127254949,1,True,-2.0794415416798357,0.125,0.1259411173192678,True
13,6,percent,7,0,0.1495923339189542,1,True,-1.9459101490553132,0.14285714285714285,0.14413225000528004,True
13,7,percent,6,0,0.17094966730972463,3,False,-1.791759469228055,0.16666666666666666,0.16699337862182637,False
13,8,percent,5,2,0.21295016708420686,1,True,-1.6094379124341003,0.2,0.20189495137852106,True
13,9,percent,4,0,0.2570900534044098,1,True,-1.3862943611198906,0.25,0.25340399995758717,True
14,2,percent,12,7,0.08595004328875475,1,True,-2.4849066497880004,0.08333333333333333,0.0838610502936919,True
14,3,percent,11,3,0.09339798524437058,3,False,-2.3978952727983707,0.09090909090909091,0.09105721501772338,False
14,4,percent,10,8,0.10314302353025565,2,False,-2.302585092994046,0.1,0.10030974175262203,False
14,5,percent,9,1,0.11415633574898135,3,False,-2.1972245773362196,0.1111111111111111,0.11203015210732986,True
14,6,percent,8,1,0.1308834933321834,1,True,-2.0794415416798357,0.125,0.12625829883842898,True
14,7,percent,7,1,0.14073135556137173,6,False,-1.9459101490553132,0.14285714285714285,0.14303130746223006,False
14,8,percent,6,3,0.1749687938526033,1,True,-1.791759469228055,0.16666666666666666,0.16722701501855775,True
14,9,percent,4,2,0.2592260227006074,1,True,-1.3862943611198906,0.25,0.24948867265669983,False
15,1,percent,13,10,0.07816722031442885,2,False,-2.5649493574615367,0.07692307692307693,0.07729645082911554,True
15,2,percent,12,6,0.08528492924688263,3,False,-2.4849066497880004,0.08333333333333333,0.08338047763400559,False
15,3,percent,11,2,0.09307896613003022,3,False,-2.3978952727983707,0.09090909090909091,0.09103967060647107,False
15,4,percent,9,1,0.11502197572348774,2,False,-2.1972245773362196,0.1111111111111111,0.111514983119577,False
15,6,percent,8,6,0.11556324143336409,8,False,-2.0794415416798357,0.125,0.12469647415097757,False
15,8,percent,7,2,0.1460226301955197,3,False,-1.9459101490553132,0.14285714285714285,0.14267484765964578,False
15,9,percent,5,0,0.19697476792792284,4,False,-1.6094379124341003,0.2,0.19981666613873586,False
16,2,percent,12,3,0.0851370864828427,6,False,-2.4849066497880004,0.08333333333333333,0.0839059447517273,True
16,3,percent,11,9,0.09411995302807837,1,True,-2.3978952727983707,0.09090909090909091,0.09168371140789393,True
16,4,percent,10,6,0.10342530520366816,1,True,-2.302585092994046,0.1,0.10061724010355884,True
16,5,percent,9,2,0.11541157192400092,1,True,-2.1972245773362196,0.1111111111111111,0.11198388565305521,False
16,6,percent,8,6,0.1294075781515314,2,False,-2.0794415416798357,0.125,0.12574254587506037,True
16,7,percent,7,1,0.15112448122651748,1,True,-1.9459101490553132,0.14285714285714285,0.14513269333847956,True
16,8,percent,6,4,0.17539078418523643,1,True,-1.791759469228055,0.16666666666666666,0.16832578450151017,True
16,9,percent,5,1,0.2116265579648313,1,True,-1.6094379124341003,0.2,0.20120406249187345,True
16,10,percent,4,0,0.24071097953951756,4,False,-1.3862943611198906,0.25,0.2501670260503547,False
17,2,percent,12,8,0.08580016037466129,2,False,-2.4849066497880004,0.08333333333333333,0.08374340917404026,False
17,3,percent,11,2,0.09425429902462883,1,True,-2.3978952727983707,0.09090909090909091,0.09171507420017423,True
17,4,percent,10,9,0.10386131666515214,1,True,-2.302585092994046,0.1,0.10075675187832714,True
17,5,percent,9,3,0.11206515739181147,6,False,-2.1972245773362196,0.1111111111111111,0.11083091111660942,False
17,7,percent,8,7,0.12522131717045187,5,False,-2.0794415416798357,0.125,0.12512151643691527,False
17,8,percent,7,2,0.14366903944688264,4,False,-1.9459101490553132,0.14285714285714285,0.1429563628377814,False
17,9,percent,6,3,0.172294103865856,2,False,-1.791759469228055,0.16666666666666666,0.1660844524733879,False
17,10,percent,5,4,0.20730327126447784,2,False,-1.6094379124341003,0.2,0.20089471360293246,False
17,11,percent,4,1,0.26973164899886487,1,True,-1.3862943611198906,0.25,0.2521455793333769,True
18,2,percent,11,1,0.09432195445287014,1,True,-2.3978952727983707,0.09090909090909091,0.0917519216404705,True
18,5,percent,9,3,0.11393564943445673,4,False,-2.1972245773362196,0.1111111111111111,0.11130319036390758,False
18,6,percent,8,4,0.1301098129745652,1,True,-2.0794415416798357,0.125,0.12545225938082888,False
18,7,percent,7,6,0.14860032510829893,1,True,-1.9459101490553132,0.14285714285714285,0.1434146773036917,True
18,8,percent,6,3,0.17041877642156383,2,False,-1.791759469228055,0.16666666666666666,0.16658903930038851,False
18,9,percent,5,2,0.18936131884850024,5,False,-1.6094379124341003,0.2,0.20006524383460741,False
18,10,percent,4,2,0.2544044067134833,2,False,-1.3862943611198906,0.25,0.24976969573455757,False
19,1,percent,13,7,0.07746131048734728,6,False,-2.5649493574615367,0.07692307692307693,0.07735292615282843,False
19,2,percent,12,10,0.08529696595939718,4,False,-2.4849066497880004,0.08333333333333333,0.08348969218852922,False
19,3,percent,11,8,0.09380352167612328,1,True,-2.3978952727983707,0.09090909090909091,0.09140192212984506,True
19,4,percent,10,3,0.10326662589274728,2,False,-2.302585092994046,0.1,0.10029312434795354,False
19,6,percent,9,4,0.11404809046536449,4,False,-2.1972245773362196,0.1111111111111111,0.1111764659817892,False
19,7,percent,8,1,0.12986425641994673,3,False,-2.0794415416798357,0.125,0.12542661068582914,False
19,8,percent,7,4,0.15074157185263584,1,True,-1.9459101490553132,0.14285714285714285,0.14474984420112963,True
19,9,percent,6,3,0.17400882244402846,2,False,-1.791759469228055,0.16666666666666666,0.16682754572744207,False
19,10,percent,5,4,0.21415598177522227,1,True,-1.6094379124341003,0.2,0.20189771484476302,True
19,11,percent,4,1,0.2442887444809284,3,False,-1.3862943611198906,0.25,0.25054384318165396,True
2,1,rank,10,4,0.27844279850357023,1,False,-2.302585092994046,0.1,0.2058400463502144,False
2,2,rank,9,7,0.0878677955121794,4,False,-2.1972245773362196,0.1111111111111111,0.20969501473699995,False
2,3,rank,8,2,0.049914484073492874,5,False,-2.0794415416798357,0.125,0.1343503780479658,False
2,4,rank,7,4,0.47754161733470957,1,True,-1.9459101490553132,0.14285714285714285,0.30355412459506176,True
2,5,rank,6,5,0.2851036686271539,1,False,-1.791759469228055,0.16666666666666666,0.3176506979125795,True
2,6,rank,5,1,0.42962686311388487,1,True,-1.6094379124341003,0.2,0.2936970738138499,True
2,7,rank,4,2,0.27301271739386557,2,False,-1.3862943611198906,0.25,0.2764135549906164,False
20,2,percent,12,6,0.08518759241148238,5,False,-2.4849066497880004,0.08333333333333333,0.08317611396203466,False
20,3,percent,11,0,0.09386087675295286,2,False,-2.3978952727983707,0.09090909090909091,0.09149830444904912,True
20,4,percent,10,1,0.10289728988419508,4,False,-2.302585092994046,0.1,0.10024104278162393,False
20,5,percent,9,7,0.11526296774316766,2,False,-2.1972245773362196,0.1111111111111111,0.11153419066770077,False
20,6,percent,8,3,0.12986622478619433,2,False,-2.0794415416798357,0.125,0.1251905377212862,False
20,7,percent,7,6,0.13583896256079867,6,False,-1.9459101490553132,0.14285714285714285,0.1423775764228339,False
20,8,percent,6,0,0.17399185827268138,2,False,-1.791759469228055,0.16666666666666666,0.16746949292378063,False
20,9,percent,4,0,0.2513099748453313,2,False,-1.3862943611198906,0.25,0.24962522817840943,False
21,2,percent,13,5,0.0792554138443551,1,True,-2.5649493574615367,0.07692307692307693,0.07744257275604766,True
21,4,percent,10,5,0.10410578406884217,1,True,-2.302585092994046,0.1,0.10101416326032144,True
21,6,percent,9,7,0.11613882411744744,1,True,-2.1972245773362196,0.1111111111111111,0.11231629113885103,True
21,7,percent,8,5,0.12640576561225983,5,False,-2.0794415416798357,0.125,0.12493339974199351,False
21,8,percent,7,2,0.14415034336631793,5,False,-1.9459101490553132,0.14285714285714285,0.14371653613033497,True
21,9,percent,6,1,0.1695750044212491,3,False,-1.791759469228055,0.16666666666666666,0.16584617953787453,False
21,11,percent,4,2,0.24599836182297713,3,False,-1.3862943611198906,0.25,0.24966717175371841,False
22,2,percent,12,2,0.0862352112982981,1,True,-2.4849066497880004,0.08333333333333333,0.08407454187594415,True
22,3,percent,11,6,0.09371452227450301,1,True,-2.3978952727983707,0.09090909090909091,0.09133648454398043,True
22,4,percent,10,5,0.10295721224982604,2,False,-2.302585092994046,0.1,0.10038355432890782,False
22,6,percent,9,1,0.11523650575715014,1,True,-2.1972245773362196,0.1111111111111111,0.11176087718634621,True
22,7,percent,8,3,0.12930318682257075,1,True,-2.0794415416798357,0.125,0.12513741824239394,False
22,8,percent,6,2,0.17338184784836058,1,True,-1.791759469228055,0.16666666666666666,0.16609945274963442,False
22,9,percent,5,0,0.20566317108033574,2,False,-1.6094379124341003,0.2,0.20052502709379894,True
23,2,percent,13,3,0.07878371153195272,2,False,-2.5649493574615367,0.07692307692307693,0.07713407189822459,False
23,3,percent,12,8,0.08576643370889868,1,True,-2.4849066497880004,0.08333333333333333,0.08366216004153726,True
23,4,percent,11,1,0.09396544834807659,1,True,-2.3978952727983707,0.09090909090909091,0.0915365287398614,True
23,6,percent,9,0,0.11475292131013583,2,False,-2.1972245773362196,0.1111111111111111,0.11178529607262616,True
23,7,percent,8,5,0.1294533735659605,2,False,-2.0794415416798357,0.125,0.1252045715463523,False
23,8,percent,7,5,0.14829128287872387,2,False,-1.9459101490553132,0.14285714285714285,0.14346061741090013,False
23,9,percent,6,4,0.17535909578853145,1,True,-1.791759469228055,0.16666666666666666,0.16708909007691292,False
23,10,percent,5,4,0.20344100834265377,3,False,-1.6094379124341003,0.2,0.1997001320991682,False
23,11,percent,4,2,0.26206907304500704,2,False,-1.3862943611198906,0.25,0.25131233419127574,True
24,2,percent,12,2,0.08584821533972424,2,False,-2.4849066497880004,0.08333333333333333,0.08375917271540172,True
24,3,percent,11,1,0.09382081567385779,2,False,-2.3978952727983707,0.09090909090909091,0.09132921666973473,False
24,4,percent,10,4,0.10348174910511868,1,True,-2.302585092994046,0.1,0.10044325777286954,True
24,5,percent,9,2,0.11479856691419424,2,False,-2.1972245773362196,0.1111111111111111,0.11131455273188678,False
24,6,percent,8,2,0.1259195020770411,6,False,-2.0794415416798357,0.125,0.12450846684541761,False
24,7,percent,7,2,0.14709720915589536,4,False,-1.9459101490553132,0.14285714285714285,0.14288090272232074,False
24,8,percent,5,0,0.2128575649591701,1,True,-1.6094379124341003,0.2,0.20212841503487747,True
24,9,percent,4,3,0.24821426970660082,3,False,-1.3862943611198906,0.25,0.24890043612271037,False
25,2,percent,13,0,0.07910568715338848,1,True,-2.5649493574615367,0.07692307692307693,0.07728005007286888,True
25,4,percent,11,0,0.09325750689673788,3,False,-2.3978952727983707,0.09090909090909091,0.09108127134738286,False
25,5,percent,10,6,0.10199918569617783,5,False,-2.302585092994046,0.1,0.10025235484539564,False
25,6,percent,9,4,0.11569922768156507,1,True,-2.1972245773362196,0.1111111111111111,0.11202512901129855,True
25,7,percent,8,4,0.12732543414301697,2,False,-2.0794415416798357,0.125,0.12552503420663752,True
25,8,percent,6,4,0.174323326343007,1,True,-1.791759469228055,0.16666666666666666,0.1668601480308679,False
