occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology
11-9032,0.9974160206718347,0.9870801033591732,0.20930232558139536,0.9748062015503876,0.6782945736434108
11-9033,0.8423772609819121,0.6782945736434108,0.037467700258397935,0.9651162790697675,0.5290697674418605
11-9041,0.6589147286821705,0.4838501291989664,0.33462532299741604,0.9198966408268734,0.9056847545219638
11-9051,0.4082687338501292,0.712532299741602,0.582687338501292,0.5839793281653747,0.28940568475452194
11-9071,0.6744186046511628,0.6944444444444444,0.3055555555555556,0.5232558139534884,0.6091731266149871
11-9072,0.7312661498708011,0.9476744186046512,0.3578811369509044,0.9289405684754521,0.49806201550387597
11-9081,0.8688630490956072,0.9263565891472868,0.3888888888888889,0.8869509043927648,0.7764857881136951
11-9111,0.9780361757105943,0.8546511627906976,0.18087855297157623,0.7512919896640827,0.915374677002584
11-9121,0.8798449612403101,0.5943152454780362,0.20284237726098192,0.7015503875968992,0.8591731266149871
11-9131,0.7797157622739018,0.7545219638242894,0.28811369509043927,0.5807493540051679,0.8158914728682171
11-9141,0.6976744186046512,0.7015503875968992,0.09560723514211886,0.5406976744186046,0.49160206718346255
11-9151,0.9250645994832042,0.9031007751937985,0.21705426356589147,0.917312661498708,0.7971576227390181
11-9161,0.9715762273901809,0.9702842377260982,0.3268733850129199,0.9231266149870802,0.6266149870801033
11-9171,0.8656330749354005,0.9935400516795866,0.4315245478036176,0.7655038759689923,0.6524547803617571
11-9179,0.7054263565891473,0.8850129198966409,0.4198966408268734,0.8217054263565892,0.6156330749354005
11-9199,0.874031007751938,0.7299741602067183,0.268733850129199,0.6782945736434108,0.7816537467700259
13-1011,0.4935400516795866,0.6266149870801033,0.05555555555555555,0.7835917312661499,0.39728682170542634
13-1021,0.5142118863049095,0.6291989664082688,0.26356589147286824,0.6188630490956072,0.458656330749354
13-1022,0.40568475452196384,0.4760981912144703,0.2868217054263566,0.5891472868217055,0.6472868217054264
13-1023,0.9069767441860465,0.6537467700258398,0.08397932816537468,0.6162790697674418,0.7067183462532299
13-1031,0.8191214470284238,0.7971576227390181,0.13953488372093023,0.3365633074935401,0.9127906976744186
13-1032,0.8294573643410853,0.8036175710594315,0.32558139534883723,0.2777777777777778,0.6117571059431525
13-1041,0.9198966408268734,0.727390180878553,0.27648578811369506,0.5478036175710594,0.7467700258397932
13-1051,0.5645994832041343,0.31136950904392763,0.04521963824289406,0.6130490956072352,0.7067183462532299
13-1071,0.9935400516795866,0.7403100775193798,0.12532299741602068,0.46188630490956073,0.8158914728682171
13-1074,0.2771317829457364,0.15439276485788114,0.34366925064599485,0.011627906976744186,0.1434108527131783
