occ_code,writing_intensity,social_perceptiveness,physical_manual,creativity_originality,tool_technology,substitution_score,defense_score,net_risk
11-3111,0.877906976744186,0.5562015503875969,0.0174418604651162,0.7028423772609819,0.7131782945736435,0.7955426356589148,0.42549526270456495,0.37004737295434986
11-3121,0.9354005167958656,0.8527131782945736,0.0930232558139534,0.9140826873385012,0.7635658914728682,0.849483204134367,0.6199397071490095,0.22954349698535748
11-3131,0.810077519379845,0.520671834625323,0.1098191214470284,0.9677002583979328,0.8236434108527132,0.8168604651162791,0.532730404823428,0.28413006029285104
11-9013,0.6027131782945736,0.5891472868217055,0.661498708010336,0.8152454780361758,0.45671834625323,0.5297157622739018,0.6886304909560724,-0.1589147286821706
11-9021,0.8688630490956072,0.6905684754521964,0.4547803617571059,0.7286821705426356,0.4916020671834625,0.6802325581395349,0.6246770025839793,0.05555555555555558
11-9031,0.9160206718346252,0.962532299741602,0.3100775193798449,0.7868217054263565,0.4186046511627907,0.6673126614987079,0.6864771748492678,-0.01916451335055991
11-9032,0.9974160206718348,0.9870801033591732,0.2093023255813953,0.9748062015503876,0.6782945736434108,0.8378552971576227,0.7237295434969854,0.11412575366063737
11-9033,0.8423772609819121,0.6782945736434108,0.0374677002583979,0.9651162790697676,0.5290697674418605,0.6857235142118863,0.5602928509905255,0.12543066322136076
11-9041,0.6589147286821705,0.4838501291989664,0.334625322997416,0.9198966408268734,0.9056847545219638,0.7822997416020672,0.5794573643410853,0.20284237726098187
11-9051,0.4082687338501292,0.712532299741602,0.582687338501292,0.5839793281653747,0.2894056847545219,0.34883720930232553,0.6263996554694229,-0.27756244616709735
11-9071,0.6744186046511628,0.6944444444444444,0.3055555555555556,0.5232558139534884,0.6091731266149871,0.6417958656330749,0.5077519379844961,0.13404392764857875
11-9072,0.7312661498708011,0.9476744186046512,0.3578811369509044,0.928940568475452,0.4980620155038759,0.6146640826873385,0.7448320413436692,-0.13016795865633068
11-9081,0.8688630490956072,0.9263565891472868,0.3888888888888889,0.8869509043927648,0.7764857881136951,0.8226744186046511,0.734065460809647,0.0886089577950041
11-9111,0.9780361757105944,0.8546511627906976,0.1808785529715762,0.7512919896640827,0.915374677002584,0.9467054263565893,0.5956072351421189,0.3510981912144704
11-9121,0.8798449612403101,0.5943152454780362,0.2028423772609819,0.7015503875968992,0.8591731266149871,0.8695090439276486,0.4995693367786391,0.36993970714900953
11-9131,0.7797157622739018,0.7545219638242894,0.2881136950904392,0.5807493540051679,0.8158914728682171,0.7978036175710594,0.5411283376399655,0.25667527993109396
11-9141,0.6976744186046512,0.7015503875968992,0.0956072351421188,0.5406976744186046,0.4916020671834625,0.5946382428940569,0.4459517657192076,0.14868647717484929
11-9151,0.9250645994832042,0.9031007751937984,0.2170542635658914,0.917312661498708,0.7971576227390181,0.8611111111111112,0.6791559000861326,0.18195521102497858
11-9161,0.9715762273901808,0.9702842377260982,0.3268733850129199,0.9231266149870802,0.6266149870801033,0.7990956072351421,0.7400947459086994,0.059000861326442666
11-9171,0.8656330749354005,0.9935400516795866,0.4315245478036176,0.7655038759689923,0.6524547803617571,0.7590439276485788,0.7301894918173989,0.02885443583117986
11-9179,0.7054263565891473,0.8850129198966409,0.4198966408268734,0.8217054263565892,0.6156330749354005,0.6605297157622739,0.7088716623600345,-0.04834194659776059
11-9199,0.874031007751938,0.7299741602067183,0.268733850129199,0.6782945736434108,0.7816537467700259,0.827842377260982,0.5590008613264428,0.2688415159345392
13-1011,0.4935400516795866,0.6266149870801033,0.0555555555555555,0.7835917312661499,0.3972868217054263,0.44541343669250644,0.4885874246339362,-0.04317398794142974
13-1021,0.5142118863049095,0.6291989664082688,0.2635658914728682,0.6188630490956072,0.458656330749354,0.48643410852713176,0.5038759689922481,-0.01744186046511631
13-1022,0.4056847545219638,0.4760981912144703,0.2868217054263566,0.5891472868217055,0.6472868217054264,0.5264857881136951,0.4506890611541774,0.07579672695951767
13-1023,0.9069767441860463,0.6537467700258398,0.0839793281653746,0.6162790697674418,0.7067183462532299,0.8068475452196382,0.45133505598621876,0.35551248923341944
13-1031,0.8191214470284238,0.7971576227390181,0.1395348837209302,0.3365633074935401,0.9127906976744186,0.8659560723514212,0.4244186046511628,0.4415374677002584
13-1032,0.8294573643410853,0.8036175710594315,0.3255813953488372,0.2777777777777778,0.6117571059431525,0.7206072351421189,0.46899224806201545,0.25161498708010344
